,close,SMA,MACD,SIGNAL
78,1.4468,1.4490642857142855,-0.012008507508776578,-0.015022724905527581
79,1.4452,1.4490499999999997,-0.011810269657926531,-0.014380233856007372
80,1.4537,1.450392857142857,-0.01084230245674278,-0.013672647576154454
81,1.4696,1.452035714285714,-0.008691988524684335,-0.01267651576586043
82,1.455,1.4530785714285714,-0.008072887996437128,-0.011755790211975769
83,1.4731,1.4552214285714284,-0.006051964357537631,-0.010615025041088142
84,1.4802,1.458285714285714,-0.0038332696050373816,-0.009258673953877989
85,1.4718,1.4593785714285714,-0.0027213774815113556,-0.007951214659404663
86,1.4812,1.4618714285714287,-0.0010693665302414779,-0.0065748450335720255
87,1.4821,1.4639142857142857,0.00030892542907534626,-0.005198090941042551
88,1.4754,1.4647214285714287,0.000850790349576247,-0.003988314682918792
89,1.4803,1.4658000000000002,0.0016565159670673957,-0.0028593485529215543
90,1.4956,1.468214285714286,0.003489417622172475,-0.0015895953179027485
91,1.4921,1.4715785714285716,0.004606483960249763,-0.00035037946227224614
92,1.5061,1.475814285714286,0.006545991957771946,0.0010288948217365924
93,1.5093,1.4803928571428575,0.008246221962009859,0.0024723602497912457
94,1.5058,1.484114285714286,0.00920513467801376,0.0038189151354357485
95,1.4939,1.4858500000000003,0.00890223000048973,0.004835578108446545
96,1.5165,1.4902428571428576,0.01036631060926152,0.00594172460860954
97,1.5197,1.493571428571429,0.011650518372723573,0.0070834833614323465
98,1.5132,1.495928571428572,0.01200537609768415,0.008067861908682708
99,1.5148,1.4990000000000008,0.012274220456582885,0.008909133618262743
100,1.5177,1.5016071428571436,0.012576315376442881,0.00964256996989877
101,1.516,1.5040285714285722,0.01253406706150173,0.010220869388219363
102,1.5063,1.506235714285715,0.011584338984992337,0.010493563307573959
103,1.5026,1.5078285714285722,0.010413078081915161,0.0104774662624422
104,1.5181,1.509435714285715,0.010613223208200573,0.010504617651593873
105,1.5264,1.511885714285715,0.011311191917305008,0.0106659325047361
106,1.5446,1.514635714285715,0.013180982878371994,0.011168942579463279
107,1.5297,1.516092857142858,0.013307104196833341,0.011596574902937291
108,1.5231,1.5173285714285722,0.012727773558057098,0.011822814633961252
109,1.5276,1.519735714285715,0.012487810538411193,0.011955813814851241
110,1.5163,1.5197214285714293,0.011256069590957374,0.011815864970072467
111,1.5256,1.520142857142858,0.010904636431659398,0.011633619262389854
112,1.5417,1.522178571428572,0.011789358185124943,0.011664767046936872
113,1.5481,1.5245571428571434,0.012858705904391421,0.011903554818427782
114,1.5594,1.5275357142857149,0.014451400488951771,0.01241312395253258
115,1.5588,1.530592857142858,0.015486686553904283,0.013027836472806921
116,1.5611,1.5345071428571437,0.016304797441785368,0.01368322866660261
117,1.568,1.5391785714285722,0.01731038520360917,0.014408659974003922
118,1.5888,1.5442285714285722,0.01956022877536734,0.015438973734276605
119,1.5946,1.5491000000000008,0.021562696203094145,0.016663718228040112
120,1.5884,1.5522285714285722,0.02239126531367086,0.01780922764516626
121,1.5888,1.5564500000000006,0.022817166863966953,0.0188108154889264
122,1.594,1.5615142857142865,0.023305640535977057,0.01970978049833653
123,1.59,1.5659714285714295,0.023103668164634827,0.020388558031596192
124,1.5846,1.5708500000000005,0.02225136880629397,0.020761120186535746
125,1.5639,1.5735857142857148,0.01967875399498653,0.020544646948225904
126,1.5575,1.5747142857142864,0.01692837197478858,0.01982139195353844
127,1.5589,1.575485714285715,0.014692279258396557,0.018795569414510063
128,1.5651,1.5758928571428579,0.013267508278221651,0.01768995718725238
129,1.5575,1.5758000000000008,0.011393770236452605,0.016430719797092423
130,1.5595,1.575685714285715,0.009955442480235055,0.01513566433372095
131,1.5591,1.5750500000000007,0.008683186346671645,0.01384516873631109
132,1.553,1.572492857142858,0.007100841098476085,0.012496303208744088
133,1.5502,1.5693214285714294,0.005556828825975746,0.01110840833219042
134,1.5404,1.565892857142858,0.003502040534689277,0.00958713477269019
135,1.5473,1.5629285714285726,0.0024026817248816723,0.008150244163128487
136,1.5521,1.559935714285715,0.001896885714634866,0.006899572473429763
137,1.5526,1.5572642857142864,0.0015188758978927908,0.0058234331583223685
138,1.5461,1.5545142857142864,0.0006868867149993907,0.004796123869657773
139,1.5351,1.5524571428571434,-0.0008502773082363912,0.00366684363407894
140,1.5451,1.5515714285714293,-0.0012471975280565761,0.0026840354016518363
141,1.5392,1.5501642857142863,-0.0020146171016699466,0.0017443049009874798
142,1.5449,1.548721428571429,-0.002138212299211295,0.0009678014609477248
143,1.5392,1.547414285714286,-0.002665379906410914,0.00024116518747599697
144,1.5353,1.5456857142857146,-0.00335913937180754,-0.0004788957243807106
145,1.5472,1.5448357142857145,-0.0029151145726531436,-0.0009661394940351972
146,1.543,1.5441214285714289,-0.0028690539514051316,-0.001346722385509184
147,1.5348,1.5430214285714288,-0.003454401852690525,-0.0017682582789454522
148,1.5424,1.5431642857142858,-0.0032673735491084432,-0.0020680813329780503
149,1.5531,1.5435785714285717,-0.002230045122665558,-0.0021004740909155517
150,1.563,1.544357142857143,-0.0006021662116613147,-0.0018008125150647044
151,1.5626,1.5450714285714289,0.0006481909546429687,-0.0013110118211231698
152,1.5629,1.5462714285714287,0.0016443603475633228,-0.0007199373873858712
153,1.5543,1.5476428571428575,0.0017200559078562883,-0.00023193872833743935
154,1.5603,1.548728571428572,0.0022383922481672425,0.000262127466963497
155,1.5648,1.5505571428571432,0.0029779618339018654,0.0008052943403511707
156,1.5681,1.5522142857142864,0.0037867076707720493,0.0014015770064353464
157,1.5821,1.555278571428572,0.005493996201986429,0.0022200608455455626
158,1.5807,1.5585214285714293,0.0066573248665902085,0.0031075136497544916
159,1.5804,1.5608928571428577,0.00746896612955239,0.003979804145714071
160,1.579,1.5634642857142864,0.00790807006914318,0.004765457330399893
161,1.571,1.5660500000000008,0.007523800277436488,0.005317125919807212
